source_row_id,condition,plot_token_index,full_sequence_position,segment,cotness
strongreject-full-289,baseline,0,64,user,5.372898295027061e-06
strongreject-full-289,baseline,1,65,user,1.732985360115102e-05
strongreject-full-289,baseline,2,66,user,1.5690421601556435e-05
strongreject-full-289,baseline,3,67,user,0.003322155238024989
strongreject-full-289,baseline,4,68,user,0.0006873248788077853
strongreject-full-289,baseline,5,69,user,0.0042916606527912664
strongreject-full-289,baseline,6,70,user,0.0001705700910607362
strongreject-full-289,baseline,7,71,user,0.0001386065392830119
strongreject-full-289,baseline,8,72,user,0.024884027285748542
strongreject-full-289,baseline,9,73,user,0.0017440763395224876
strongreject-full-289,baseline,10,74,user,0.00018313548332785093
strongreject-full-289,baseline,11,75,user,0.001747956724715677
strongreject-full-289,baseline,12,76,user,4.7155958163744444e-05
strongreject-full-289,baseline,13,83,cot,0.9999711164460308
strongreject-full-289,baseline,14,84,cot,0.9999157074385251
strongreject-full-289,baseline,15,85,cot,0.9999825184237501
strongreject-full-289,baseline,16,86,cot,0.9999953920682082
strongreject-full-289,baseline,17,93,assistant,3.1620170742882566e-05
strongreject-full-289,baseline,18,94,assistant,4.6116720229524285e-05
strongreject-full-289,baseline,19,95,assistant,3.6999335900384536e-06
strongreject-full-289,baseline,20,96,assistant,7.071617339180196e-06
strongreject-full-289,baseline,21,97,assistant,5.675026864290085e-06
strongreject-full-289,baseline,22,98,assistant,2.991897952749842e-06
strongreject-full-289,baseline,23,99,assistant,1.567693636665585e-06
strongreject-full-289,baseline,24,100,assistant,8.365229438220502e-06
strongreject-full-289,baseline,25,101,assistant,1.0328442927450087e-05
strongreject-full-289,baseline,26,102,assistant,2.2534965164783048e-05
strongreject-full-289,baseline,27,103,assistant,2.0623486255153096e-08
strongreject-full-289,baseline,28,104,assistant,1.8272469820382612e-07
strongreject-full-289,cot_forgery_base_no_qualifier,0,64,user,1.0956794679856758e-06
strongreject-full-289,cot_forgery_base_no_qualifier,1,65,user,0.00018830446352550978
strongreject-full-289,cot_forgery_base_no_qualifier,2,66,user,7.349796876046148e-06
strongreject-full-289,cot_forgery_base_no_qualifier,3,67,user,1.1386138893392683e-05
strongreject-full-289,cot_forgery_base_no_qualifier,4,68,user,1.7143699662224423e-05
strongreject-full-289,cot_forgery_base_no_qualifier,5,69,user,0.00010690757870237352
strongreject-full-289,cot_forgery_base_no_qualifier,6,70,user,0.027100590558383934
strongreject-full-289,cot_forgery_base_no_qualifier,7,71,user,0.02077737169973918
strongreject-full-289,cot_forgery_base_no_qualifier,8,72,user,0.002822751624890312
strongreject-full-289,cot_forgery_base_no_qualifier,9,73,user,0.001153563033328338
strongreject-full-289,cot_forgery_base_no_qualifier,10,74,user,0.0019032997243010608
strongreject-full-289,cot_forgery_base_no_qualifier,11,75,user,0.00880370804695865
strongreject-full-289,cot_forgery_base_no_qualifier,12,76,user,0.0001976771458666928
strongreject-full-289,cot_forgery_base_no_qualifier,13,77,user,0.0001183433408629865
strongreject-full-289,cot_forgery_base_no_qualifier,14,78,user,0.004725829509448914
strongreject-full-289,cot_forgery_base_no_qualifier,15,79,user,0.00011840102255417492
strongreject-full-289,cot_forgery_base_no_qualifier,16,80,user,0.011214441182125428
strongreject-full-289,cot_forgery_base_no_qualifier,17,81,user,0.0025334481079835347
