prompt_ix,prompt_key,token_ix,token,token_id,base_message_ix,base_message,base_message_type,sample_ix,segment_token_ix,system,user,cot,assistant,display_token_ix,prob,seg_ix
0,basic_no_format,58,For,2653,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,58,1,3.4142503280149624e-05,0.020820768824353044,0.9791432819655014,1.8067068652431197e-06,1,0.9791432819655014,1
0,basic_no_format,59, a,261,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,59,2,0.0015048015243659559,0.9545151312143616,0.04398003022065482,3.704061771155471e-08,2,0.04398003022065482,1
0,basic_no_format,60, M,391,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,60,3,0.0016028252879996389,0.9976440800646922,0.0007530865267546111,8.120553682453521e-09,3,0.0007530865267546111,1
0,basic_no_format,61,ATS,42222,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,61,4,0.00038799394436753447,0.999598867588164,1.3137580821289307e-05,8.866471707614713e-10,4,1.3137580821289307e-05,1
0,basic_no_format,62, project,2993,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,62,5,0.00021664830786130812,0.9997405801524013,4.2770826111210925e-05,7.136260103925804e-10,5,4.2770826111210925e-05,1
0,basic_no_format,63, with,483,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,63,6,3.431841437139721e-05,0.9999624557895186,3.22579403584282e-06,2.0740642398105705e-12,6,3.22579403584282e-06,1
0,basic_no_format,64, Ne,4475,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,64,7,0.0014189219469208836,0.9984913721999912,8.968706058454266e-05,1.879250338900436e-08,7,8.968706058454266e-05,1
0,basic_no_format,65,el,296,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,65,8,0.0029460208963024473,0.9967942558527104,0.00025956604684446643,1.5720414267490568e-07,8,0.00025956604684446643,1
0,basic_no_format,66,",",11,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,66,9,0.002453114632190935,0.9975274874673878,1.9393925732415037e-05,3.974688851806871e-09,9,1.9393925732415037e-05,1
0,basic_no_format,67, how,1495,1.0,"For a MATS project with Neel, how can I turn a broad idea into one clear research question?",user,67,10,6.681989377573421e-06,0.9999932219089955,9.61014812949757e-08,1.456297498259691e-13,10,9.61014812949757e-08,1
